EURUSD,Open,High,Low,Close,Range HL
03.01.2005,1.3549,1.3582,1.3386,1.3465,196
04.01.2005,1.3466,1.3495,1.325,1.3279,245
05.01.2005,1.3278,1.3303,1.3214,1.3262,89
06.01.2005,1.3261,1.3282,1.3155,1.3173,127
07.01.2005,1.3174,1.325,1.3026,1.3054,224
10.01.2005,1.3061,1.3124,1.3052,1.3074,72
11.01.2005,1.3074,1.3172,1.3065,1.3107,107
12.01.2005,1.3107,1.3293,1.3083,1.3255,210
13.01.2005,1.3255,1.3267,1.3192,1.3224,75
14.01.2005,1.3222,1.3224,1.3057,1.3112,167
17.01.2005,1.3105,1.3128,1.3061,1.3067,67
18.01.2005,1.3066,1.3076,1.2995,1.302,81
19.01.2005,1.302,1.3119,1.2964,1.301,155
20.01.2005,1.3013,1.3024,1.2922,1.2963,102
21.01.2005,1.2963,1.3068,1.2933,1.3039,135
24.01.2005,1.3041,1.31,1.3029,1.306,71
25.01.2005,1.3061,1.3076,1.2944,1.2973,132
26.01.2005,1.2975,1.3109,1.2967,1.3073,142
27.01.2005,1.3074,1.3125,1.301,1.3046,115
28.01.2005,1.3044,1.3081,1.2986,1.3038,95
31.01.2005,1.3032,1.3059,1.2976,1.3039,83
01.02.2005,1.3038,1.3067,1.3001,1.3047,66
02.02.2005,1.3047,1.3094,1.301,1.3027,84
03.02.2005,1.3027,1.3038,1.294,1.2975,98
04.02.2005,1.2976,1.3045,1.2865,1.2869,180
07.02.2005,1.286,1.2865,1.2732,1.2757,133
08.02.2005,1.2758,1.2798,1.2733,1.2762,65
09.02.2005,1.2762,1.2815,1.2739,1.2805,76
10.02.2005,1.2805,1.2907,1.2739,1.2874,168
11.02.2005,1.2874,1.2897,1.2846,1.2866,51
14.02.2005,1.2881,1.299,1.2878,1.2976,112
15.02.2005,1.2977,1.3053,1.2955,1.3027,98
16.02.2005,1.3026,1.3065,1.2959,1.3029,106
17.02.2005,1.3029,1.309,1.3015,1.3071,75
18.02.2005,1.307,1.3083,1.3013,1.3072,70
21.02.2005,1.3045,1.308,1.3032,1.3069,48
22.02.2005,1.3068,1.3262,1.3055,1.3259,207
23.02.2005,1.326,1.3274,1.3185,1.3216,89
24.02.2005,1.3216,1.327,1.3176,1.3198,94
25.02.2005,1.32,1.3249,1.3146,1.3245,103
28.02.2005,1.3244,1.328,1.3221,1.3228,59
01.03.2005,1.3228,1.3233,1.3168,1.3188,65
02.03.2005,1.3188,1.3189,1.3088,1.3142,101
03.03.2005,1.3143,1.3165,1.3097,1.311,68
04.03.2005,1.311,1.3255,1.3085,1.3237,170
07.03.2005,1.3238,1.3248,1.3178,1.3214,70
08.03.2005,1.3215,1.3363,1.3208,1.3344,155
09.03.2005,1.3345,1.3423,1.3331,1.3392,92
10.03.2005,1.3392,1.3456,1.3371,1.3418,85
11.03.2005,1.3418,1.3482,1.339,1.3458,92
14.03.2005,1.3462,1.3478,1.3335,1.3369,143
15.03.2005,1.337,1.3412,1.3296,1.3307,116
16.03.2005,1.3307,1.344,1.3292,1.3417,148
17.03.2005,1.3416,1.3422,1.3343,1.3377,79
18.03.2005,1.3377,1.3386,1.3264,1.3326,122
21.03.2005,1.3316,1.3318,1.3141,1.3157,177
22.03.2005,1.3158,1.322,1.3055,1.3087,165
23.03.2005,1.3087,1.3088,1.296,1.2986,128
24.03.2005,1.2987,1.3033,1.2934,1.2939,99
25.03.2005,1.294,1.2971,1.2929,1.2959,42
28.03.2005,1.2963,1.2964,1.2857,1.2898,107
29.03.2005,1.2896,1.2957,1.2877,1.2922,80
30.03.2005,1.2922,1.2985,1.2912,1.2915,73
31.03.2005,1.2916,1.3019,1.2912,1.2964,107
01.04.2005,1.2963,1.306,1.287,1.2914,190
04.04.2005,1.2893,1.2905,1.2818,1.2847,87
05.04.2005,1.2847,1.2878,1.28,1.2869,78
06.04.2005,1.2869,1.2911,1.284,1.2871,71
07.04.2005,1.2872,1.2941,1.2846,1.2857,95
08.04.2005,1.2856,1.2934,1.2808,1.2932,126
11.04.2005,1.2932,1.3004,1.2908,1.2972,96
